SeqID	Seq start	Seq stop	Seq length	Domain ID	Model ID	Model start	Model stop	Model size	E-value	Biscore	Accuracy	Species of the template used for the model
YP_499324.1	1	65	224	PF12773	R5JFY7_9FIRM_6-55	14	46	47	0.00013	19.7	0.93	Coprococcus sp. CAG:782
YP_499324.1	92	223	224	PF00156	D3V8C1_XENBS_271-403	11	130	131	2.9e-21	73.6	0.87	Xenorhabdus bovienii SS-2004
YP_499325.1	8	98	190	PF02482	K2BJ56_9BACT_6-100	1	89	90	4e-28	95.2	0.94	uncultured bacterium (gcode 4)
YP_499325.1	128	184	190	PF16321	HMMer-3	2	57	57	1e-28	96.2	0.97	HMMer-3 model
YP_499326.1	31	418	843	PF07517	W0BDR0_9GAMM_1168-1628	5	382	384	2.9e-153	507.9	0.97	Legionella oakridgensis ATCC 33761 = DSM 21215
YP_499326.1	419	536	843	PF00271	F9D5L7_PREDD_622-743	1	118	118	4.7e-56	185.1	0.99	Prevotella dentalis DSM 3688
YP_499326.1	574	781	843	PF07516	D3FYE1_BACPE_569-780	1	210	211	2e-66	221.5	0.97	Bacillus pseudofirmus OF4
YP_499326.1	825	843	843	PF02810	HMMer-3	1	19	19	2e-09	34.6	0.97	HMMer-3 model
YP_499328.1	1	141	291	PF03462	D1AZK7_SULD5_29-219	52	187	188	2.9e-59	197.5	0.98	Sulfurospirillum deleyianum DSM 6946
YP_499328.1	150	260	291	PF00472	HMMer-3	1	116	116	6.8e-44	145.9	0.91	HMMer-3 model
YP_499330.1	53	89	279	PF01476	F7YQS5_VIBA7_40-78	1	38	38	1e-09	35.8	0.95	Vibrio anguillarum 775
YP_499330.1	176	257	279	PF05257	B9DLH9_STACT_229-313	1	82	82	2e-32	109.1	0.98	Staphylococcus carnosus subsp. carnosus TM300
YP_499331.1	5	189	216	PF12917	HMMer-3	1	182	182	2.6e-48	161.5	0.96	HMMer-3 model
YP_499332.1	3	74	78	PF09964	HMMer-3	1	72	72	9.3e-33	109.5	0.99	HMMer-3 model
YP_499333.1	35	218	343	PF04851	A1TZF6_MARHV_19-224	1	175	175	3.5e-55	184.1	0.98	Marinobacter hydrocarbonoclasticus VT8
YP_499334.1	63	135	338	PF05598	H6L2G9_SAPGL_55-129	1	74	74	4.1e-25	84.9	0.99	Saprospira grandis str. Lewin
YP_499334.1	170	324	338	PF01609	Q7M7E9_PORGI_142-348	2	153	153	6e-40	134.1	0.91	Porphyromonas gingivalis W83
YP_499336.1	94	210	324	PF00271	HMMer-3	4	110	111	1.2e-21	74.5	0.89	HMMer-3 model
YP_499336.1	216	258	324	PF12344	HMMer-3	1	42	43	5.9e-25	84.2	0.98	HMMer-3 model
YP_499336.1	288	321	324	PF02151	A0A0G0Z214_9BACT_648-682	1	34	34	4.7e-13	46.0	0.97	Candidatus Collierbacteria bacterium GW2011_GWA2_42_17
YP_499337.1	15	44	948	PF07475	A0A017HE09_9RHOB_1-83	2	29	48	2.4e-06	24.6	0.95	Limimaricola hongkongensis DSM 17492
YP_499337.1	132	240	948	PF17760	HMMer-3	1	108	109	6.1e-41	136.3	0.98	HMMer-3 model
YP_499337.1	289	399	948	PF17755	HMMer-3	1	110	110	3.6e-37	124.5	0.98	HMMer-3 model
YP_499337.1	408	550	948	PF13304	A0M2B2_GRAFK_387-540	13	146	147	3.3e-20	70.3	0.93	Gramella forsetii KT0803
YP_499337.1	622	859	948	PF00005	R7F6U4_9CLOT_624-861	1	186	186	3.3e-50	168.1	0.91	Clostridium sp. CAG:354
YP_499337.1	854	947	948	PF17833	U4USH3_DENPD_1205-1341	8	63	137	4.8e-05	21.2	0.86	Dendroctonus ponderosae
YP_499338.1	2	125	310	PF02603	H1DCG6_9FUSO_7-132	2	127	127	5.3e-40	133.8	0.98	Fusobacterium necrophorum subsp. funduliforme 1_1_36S
YP_499338.1	127	297	310	PF07475	HMMer-3	2	170	171	5.7e-76	251.2	0.99	HMMer-3 model
YP_499339.1	13	253	279	PF01790	Q49VV9_STAS1_9-254	1	240	241	1.2e-87	290.8	0.99	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292
YP_499340.1	55	94	161	PF14602	F2KMW1_ARCVS_56-95	2	40	40	6.3e-21	71.2	0.97	Archaeoglobus veneficus SNP6
YP_499340.1	106	141	161	PF00132	F6CLR3_DESK7_393-428	1	36	36	3.2e-15	53.2	0.97	Desulfofundulus kuznetsovii DSM 6115
YP_499341.1	25	317	479	PF04733	H2APX4_KAZAF_2-295	2	258	265	7.3e-21	72.8	0.88	Kazachstania africana CBS 2517
YP_499342.1	7	280	311	PF07992	D6Y119_BACIE_7-294	1	270	271	1.5e-81	271.2	0.99	[Bacillus] selenitireducens MLS10
YP_499344.2	11	298	303	PF03668	HMMer-3	2	280	284	1.5e-108	359.8	0.96	HMMer-3 model
YP_499345.1	6	291	331	PF01933	HMMer-3	1	288	293	3.5e-105	348.8	0.98	HMMer-3 model
YP_499346.1	18	103	314	PF10298	HMMer-3	2	86	86	1.1e-34	115.7	0.98	HMMer-3 model
YP_499346.1	123	216	314	PF14527	HMMer-3	2	93	93	6.4e-36	119.7	0.99	HMMer-3 model
YP_499346.1	219	303	314	PF02650	HMMer-3	1	84	84	2.9e-36	121.1	0.98	HMMer-3 model
YP_499347.1	12	193	195	PF00574	HMMer-3	2	180	182	3.2e-90	298.3	0.99	HMMer-3 model
YP_499348.1	4	223	300	PF01370	E3BIF2_9VIBR_3-227	2	222	222	2.2e-44	148.9	0.88	Vibrio caribbeanicus ATCC BAA-2122
YP_499348.1	251	297	300	PF08338	HMMer-3	1	47	47	1e-17	61.0	0.98	HMMer-3 model
YP_499349.1	42	209	209	PF16228	Q2G034_STAA8_42-209	1	169	169	1.6e-89	295.9	0.99	Staphylococcus aureus subsp. aureus NCTC 8325
YP_499350.1	25	81	337	PF08461	L0KBR9_HALHC_23-81	1	56	57	2.5e-22	75.7	0.98	Halobacteroides halobius DSM 5150
YP_499350.1	89	337	337	PF04198	HMMer-3	4	255	255	1.3e-74	248.0	0.97	HMMer-3 model
YP_499351.1	3	102	336	PF00044	F9SZH4_9VIBR_2-115	1	100	100	1.4e-38	128.5	0.99	Vibrio tubiashii ATCC 19109
YP_499351.1	156	314	336	PF02800	D5ETL5_PRER2_162-320	1	155	155	8.6e-62	205.1	0.98	Prevotella ruminicola 23
YP_499352.1	6	385	396	PF00162	HMMer-3	1	378	378	2.2e-155	514.6	0.97	HMMer-3 model
YP_499353.1	4	249	253	PF00121	HMMer-3	2	242	243	9.5e-96	317.2	0.97	HMMer-3 model
YP_499354.1	5	493	505	PF01676	U5SAD9_9LACT_4-497	1	491	492	2.6e-203	673.4	0.99	Carnobacterium inhibens subsp. gilichinskyi
YP_499355.1	4	136	434	PF03952	HMMer-3	1	131	131	1.1e-61	204.1	0.98	HMMer-3 model
YP_499355.1	141	432	434	PF00113	HMMer-3	3	293	296	3e-131	434.4	0.96	HMMer-3 model
YP_499356.1	6	102	152	PF13273	HMMer-3	10	73	103	0.0006	17.4	0.84	HMMer-3 model
YP_499357.2	7	74	77	PF03840	A9NGT4_ACHLI_5-73	1	67	68	5.7e-29	97.4	0.97	Acholeplasma laidlawii PG-8A
YP_499358.1	14	223	246	PF12146	A0A0K0GC21_9FIRM_12-230	2	211	212	8.6e-43	143.9	0.92	Bacilli bacterium VT-13-104
YP_499359.1	5	63	790	PF08461	R4YL74_OLEAN_31-91	3	56	58	1.8e-09	34.8	0.94	Oleispira antarctica RB-8
YP_499359.1	75	135	790	PF08206	A0A0G0CW19_9BACT_14-70	1	58	58	3.1e-18	62.7	0.92	Candidatus Nomurabacteria bacterium GW2011_GWA1_35_8
YP_499359.1	155	229	790	PF17876	HMMer-3	1	74	74	8.7e-30	100.1	0.97	HMMer-3 model
YP_499359.1	251	579	790	PF00773	H0DK54_9STAP_252-582	1	329	329	2.1e-126	419.2	1.0	Staphylococcus pettenkoferi VCU012
YP_499359.1	632	711	790	PF18614	A0A259UZM3_9FIRM_431-490	2	81	81	1.2e-30	103.0	0.98	Sporomusa silvacetica DSM 10669
YP_499360.1	10	152	154	PF01668	HMMer-3	2	143	144	2.5e-62	206.4	0.99	HMMer-3 model
YP_499362.1	5	105	107	PF10962	X5E3X3_9BACT_4-275	24	87	247	2.2e-05	22.1	0.81	Draconibacterium orientale
YP_499364.1	52	174	242	PF16729	Q2G019_STAA8_44-175	2	121	123	7.4e-29	97.8	0.95	Staphylococcus aureus subsp. aureus NCTC 8325
YP_499366.1	16	153	173	PF11312	S3BYV6_OPHP1_65-422	37	106	283	0.00018	18.3	0.81	Ophiostoma piceae UAMH 11346
YP_499367.1	6	161	176	PF02474	B0UEV0_METS4_19-214	3	146	151	9.4e-31	104.3	0.95	Methylobacterium sp. 4-46
YP_499368.1	4	27	927	PF04650	Q2G015_STAA8_4-27	1	24	24	2.3e-14	49.8	0.99	Staphylococcus aureus subsp. aureus NCTC 8325
YP_499368.1	250	349	927	PF17961	HMMer-3	1	102	102	3.1e-26	88.9	0.98	HMMer-3 model
YP_499368.1	373	525	927	PF10425	HMMer-3	2	156	156	1.1e-46	156.2	0.98	HMMer-3 model
YP_499368.1	884	920	927	PF00746	Q2G015_STAA8_883-920	1	37	37	1.4e-14	51.0	0.97	Staphylococcus aureus subsp. aureus NCTC 8325
YP_499373.1	112	221	228	PF00565	HMMer-3	1	108	108	1.7e-36	122.4	0.98	HMMer-3 model
YP_499374.1	2	66	66	PF00313	HMMer-3	2	65	66	1.4e-32	108.7	0.98	HMMer-3 model
YP_499375.1	2	63	72	PF08266	E4WRJ9_OIKDI_15-97	34	76	83	0.00046	17.7	0.84	Oikopleura dioica
YP_499376.1	18	94	94	PF10651	R5Y3D8_9CLOT_7-146	79	134	140	0.00036	17.8	0.88	Clostridium bartlettii CAG:1329
YP_499377.1	41	178	189	PF05708	A8FJF6_BACP2_122-268	1	128	133	9.7e-26	88.3	0.92	Bacillus pumilus SAFR-032
YP_499378.1	1	62	62	PF17159	A0A089LSB0_9BACL_38-261	67	122	222	0.0001	19.8	0.87	Paenibacillus stellifer
YP_499379.1	22	66	86	PF05552	J4TG00_9FIRM_13-62	5	38	50	0.00096	16.3	0.91	Peptostreptococcaceae bacterium AS15
YP_499380.1	2	65	67	PF06855	Q5HL13_STAEQ_2-67	1	63	64	1.6e-21	73.6	0.99	Staphylococcus epidermidis RP62A
YP_499382.1	1	184	186	PF00300	HMMer-3	4	192	194	7.6e-36	121.0	0.88	HMMer-3 model
YP_499383.1	10	198	205	PF01810	B2UGN1_RALPJ_9-209	2	190	191	1.1e-35	120.2	0.95	Ralstonia pickettii 12J
YP_499384.1	4	156	164	PF13420	HMMer-3	1	155	155	8e-44	146.9	0.98	HMMer-3 model
YP_499385.1	38	134	140	PF02566	D5WH35_BURSC_47-144	2	93	94	3.7e-26	89.0	0.95	Paraburkholderia sp. CCGE1002
YP_499386.1	8	235	238	PF01487	HMMer-3	12	227	229	5.1e-49	164.9	0.89	HMMer-3 model
YP_499387.1	7	157	179	PF00881	B9DJH0_STACT_7-159	1	145	147	7.6e-28	94.8	0.92	Staphylococcus carnosus subsp. carnosus TM300
YP_499388.1	1	102	106	PF02114	J4C3M9_THEOR_20-197	5	103	104	4e-20	69.4	0.96	Theileria orientalis strain Shintoku
YP_499389.1	5	114	118	PF03960	D0BL07_9LACT_4-114	1	109	110	1.2e-33	113.3	0.99	Granulicatella elegans ATCC 700633
YP_499390.1	7	125	126	PF01597	A2BJ92_HYPBU_16-136	2	118	119	8.8e-52	171.5	0.99	Hyperthermus butylicus DSM 5456
YP_499392.1	51	291	292	PF09234	R6R8F9_9CLOT_34-280	1	222	222	9.6e-51	170.8	0.91	Clostridium sp. CAG:352
YP_499394.1	6	83	128	PF13662	Q8ENU0_OCEIH_38-119	1	77	77	3.8e-27	91.6	0.99	Oceanobacillus iheyensis HTE831
YP_499395.1	6	98	98	PF00085	E7GHR4_CLOSY_1-104	13	96	98	8.6e-12	42.5	0.89	[Clostridium] symbiosum WAL-14163
YP_499396.1	1	227	341	PF09818	Q59022_METJA_13-447	3	192	194	1.8e-54	181.6	0.86	Methanocaldococcus jannaschii DSM 2661
YP_499396.1	220	239	341	PF08352	A0A0F2R276_9PSED_92-134	1	19	29	0.00015	19.1	0.92	Pseudomonas sp. BRH_c35
YP_499396.1	264	336	341	PF09383	A5N5Y8_CLOK5_247-317	2	72	72	2.1e-15	53.8	0.96	Clostridium kluyveri DSM 555
YP_499397.1	22	230	231	PF00528	V9VTM8_9RHOB_98-322	2	205	206	3.3e-39	132.1	0.9	Leisingera methylohalidivorans DSM 14336
YP_499398.1	33	273	273	PF03180	HMMer-3	1	235	236	1.2e-87	290.3	0.98	HMMer-3 model
YP_499399.1	3	59	64	PF05532	F8JCM7_HYPSM_3-63	2	57	57	1.1e-19	67.9	0.97	Hyphomicrobium sp. MC1
YP_499400.1	15	252	283	PF04018	Q49W52_STAS1_15-266	1	231	233	4e-68	226.9	0.98	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292
YP_499401.1	20	174	253	PF00005	A0A088T166_9MOLU_19-174	1	154	155	8.3e-35	117.8	0.99	Candidatus Izimaplasma sp. HR1
YP_499402.1	153	408	435	PF01458	D4BP88_BIFBR_91-371	2	249	249	4.6e-64	213.6	0.96	Bifidobacterium breve DSM 20213 = JCM 1192
YP_499403.1	31	401	416	PF00266	HMMer-3	2	371	371	3.1e-162	537.1	1.0	HMMer-3 model
YP_499404.1	9	141	154	PF01592	F4GTZ4_PUSST_11-147	1	122	126	7.2e-48	159.2	0.98	Pusillimonas sp. T7-7
YP_499405.1	181	436	465	PF01458	R6A434_9ACTN_137-390	1	254	254	3.5e-99	328.6	0.99	Collinsella sp. CAG:166
YP_499408.1	4	179	346	PF01595	A0A0K0G8G0_9FIRM_3-179	2	174	176	9.4e-48	159.7	0.98	Bacilli bacterium VT-13-104
YP_499408.1	191	251	346	PF00571	F2RCG1_STRVP_210-271	3	59	60	1.3e-13	48.5	0.93	Streptomyces venezuelae ATCC 10712
YP_499408.1	261	314	346	PF00571	S5VI61_STRC3_283-337	5	54	54	1.3e-10	38.5	0.96	Streptomyces collinus Tu 365
YP_499409.1	4	347	355	PF03060	HMMer-3	2	329	331	5.2e-92	306.1	0.93	HMMer-3 model
YP_499411.1	22	265	282	PF01904	E6M8U2_STALU_23-273	2	223	224	4.1e-68	227.0	0.98	Staphylococcus lugdunensis M23590
YP_499412.1	10	266	275	PF01925	C2WZD0_BACCE_2-256	2	244	244	2.4e-57	191.5	0.94	Bacillus cereus Rock4-18
YP_499413.1	3	199	439	PF00149	Q3Y1J4_ENTFC_4-207	1	189	189	1.2e-37	127.2	0.94	Enterococcus faecium DO
YP_499413.1	267	415	439	PF02872	A0A0F6A5I8_9GAMM_349-497	18	134	144	8.5e-13	46.1	0.82	Pseudoalteromonas luteoviolacea S4054
YP_499414.1	7	54	305	PF08816	Q7VBJ3_PROMA_2-62	2	48	48	1.2e-23	80.8	0.97	Prochlorococcus marinus subsp. marinus str. CCMP1375
YP_499414.1	65	223	305	PF04055	S5YAP5_PARAH_74-238	3	157	157	1.8e-30	104.0	0.97	Paracoccus aminophilus JCM 7686
YP_499415.1	3	87	127	PF06265	R5HF43_9MOLU_5-89	2	85	85	1.1e-38	128.5	0.98	Acholeplasma sp. CAG:878
YP_499416.1	6	85	88	PF11256	HMMer-3	1	80	80	7.6e-35	116.4	0.99	HMMer-3 model
YP_499417.1	6	130	144	PF18735	A0A0G0IZQ0_9BACT_10-140	16	130	131	5.3e-21	72.2	0.93	Parcubacteria group bacterium GW2011_GWA2_37_10
YP_499418.1	7	195	259	PF13344	G5C613_HETGA_10-208	2	188	190	5.9e-47	157.3	0.93	Heterocephalus glaber
YP_499418.1	197	253	259	PF13242	K7EG21_ORNAN_3-61	1	53	54	3.3e-12	43.5	0.93	Ornithorhynchus anatinus
YP_499419.1	16	285	294	PF00389	Q49W69_STAS1_4-319	2	269	270	3.4e-99	328.6	0.99	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292
YP_499421.2	9	50	50	PF12459	E6M8T3_STALU_2-49	2	42	42	4.7e-27	90.9	0.98	Staphylococcus lugdunensis M23590
YP_499422.1	12	386	485	PF00501	Q0KEY5_CUPNH_13-478	3	377	377	1.2e-74	248.9	0.87	Cupriavidus necator H16
YP_499422.1	388	481	485	PF14535	Q4C7P5_CROWT_508-606	1	94	94	4.6e-21	72.6	0.95	Crocosphaera watsonii WH 8501
YP_499423.1	134	394	404	PF03062	R5JGV6_9FIRM_54-384	1	245	245	1.3e-62	209.2	0.95	Peptostreptococcus anaerobius CAG:621
YP_499424.1	4	74	78	PF00550	C8PAW5_9LACO_3-73	2	70	71	2.3e-12	44.5	0.96	Lactobacillus iners DSM 13335
YP_499425.1	40	379	391	PF04914	HMMer-3	2	349	349	2.7e-100	333.5	0.95	HMMer-3 model
YP_499426.1	12	77	80	PF01106	Q1K194_DESAC_5-71	1	67	67	1.9e-27	92.8	0.97	Desulfuromonas acetoxidans DSM 684
YP_499427.1	7	101	107	PF07315	HMMer-3	1	93	93	1.7e-39	131.4	0.96	HMMer-3 model
YP_499428.1	3	273	354	PF07992	B7GKM4_ANOFW_30-315	2	267	268	2.9e-56	188.3	0.98	Anoxybacillus flavithermus WK1
YP_499429.1	1	75	78	PF07293	HMMer-3	1	74	75	3.2e-36	120.4	0.99	HMMer-3 model
YP_499430.1	3	108	119	PF01521	Q24VV2_DESHY_2-109	2	105	106	3.9e-33	111.4	0.98	Desulfitobacterium hafniense Y51
YP_499431.1	7	306	402	PF07992	Q8YXT4_NOSS1_11-336	1	286	287	2e-58	195.4	0.91	Nostoc sp. PCC 7120 = FACHB-418
YP_499432.1	21	145	491	PF02789	E6M8Q9_STALU_21-145	1	125	125	1.2e-44	149.0	0.99	Staphylococcus lugdunensis M23590
YP_499432.1	177	482	491	PF00883	E6M8Q9_STALU_177-485	1	294	296	5.2e-110	364.8	0.97	Staphylococcus lugdunensis M23590
YP_499433.1	3	90	438	PF13726	HMMer-3	1	87	88	5.1e-33	110.5	0.98	HMMer-3 model
YP_499433.1	151	432	438	PF03553	B0VLY8_ACIBS_150-468	2	293	293	4.3e-114	377.9	0.96	Acinetobacter baumannii SDF
YP_499434.1	1	120	124	PF14539	F2IBX6_FLUTR_9-154	7	122	122	1.4e-27	93.9	0.95	Fluviicola taffensis DSM 16823
YP_499435.1	2	306	384	PF13434	Q49W84_STAS1_3-305	3	279	279	6.3e-51	171.3	0.93	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292
YP_499436.1	14	94	118	PF03334	L0F1H7_DESDL_14-95	1	81	81	6.9e-27	90.9	0.98	Desulfitobacterium dichloroeliminans LMG P-21439
YP_499437.1	32	84	97	PF04066	HMMer-3	1	52	53	6.8e-14	49.4	0.98	HMMer-3 model
YP_499438.1	9	154	159	PF01899	Q49W87_STAS1_8-156	2	145	146	3.4e-45	150.8	0.98	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292
YP_499439.1	7	128	498	PF01059	K1ZNE0_9BACT_6-131	1	123	124	3.7e-14	50.7	0.87	uncultured bacterium (gcode 4)
YP_499439.1	129	441	498	PF00361	Q62QZ9_BACLD_126-473	1	309	311	2.9e-81	270.4	0.98	Bacillus licheniformis DSM 13 = ATCC 14580
YP_499440.1	2	101	109	PF00420	A1U4K6_MARHV_4-106	2	99	100	2.9e-35	117.5	0.97	Marinobacter hydrocarbonoclasticus VT8
YP_499441.1	10	141	142	PF04039	Q2Y8M9_NITMU_819-961	4	131	132	8.9e-31	104.0	0.95	Nitrosospira multiformis ATCC 25196
YP_499442.1	73	136	801	PF00662	O67027_AQUAE_56-125	2	63	64	4.8e-19	65.5	0.98	Aquifex aeolicus VF5
YP_499442.1	128	416	801	PF00361	Q5HQL0_STAEQ_128-432	1	275	277	1.8e-86	287.3	0.99	Staphylococcus epidermidis RP62A
YP_499442.1	429	495	801	PF01010	A0A0F2PXA1_9CLOT_411-489	2	64	68	3.5e-09	33.8	0.94	Clostridiaceae bacterium BRH_c20a
YP_499442.1	622	695	801	PF13244	D6XWD4_BACIE_631-705	3	73	74	1.3e-23	80.4	0.97	[Bacillus] selenitireducens MLS10
YP_499443.1	8	119	127	PF08810	HMMer-3	1	111	112	1.1e-42	142.1	0.99	HMMer-3 model
YP_499444.1	19	193	197	PF00160	Q2FZU9_STAA8_17-195	1	147	147	4.3e-64	212.7	0.99	Staphylococcus aureus subsp. aureus NCTC 8325
YP_499445.1	1	67	114	PF10447	F2KQH1_ARCVS_54-175	11	77	77	9.1e-22	74.6	0.98	Archaeoglobus veneficus SNP6
YP_499446.1	12	336	375	PF00724	Q49W95_STAS1_7-341	4	304	304	2.8e-84	280.6	0.97	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292
YP_499447.1	14	395	396	PF00202	HMMer-3	2	405	406	1.7e-134	445.9	0.98	HMMer-3 model
YP_499448.1	50	414	414	PF05088	J9SGJ6_9ACTN_46-1571	281	664	753	2.1e-123	410.8	0.97	Gordonia sp. KTR9
YP_499450.1	59	302	309	PF03009	A0A0N0YET1_THEVU_26-270	1	233	234	2.5e-69	231.1	0.96	Thermoactinomyces vulgaris
YP_499451.1	28	300	459	PF00206	A0A0A8JN52_BACSX_6-299	1	270	271	5.2e-89	295.7	0.99	Bacillus sp. OxB-1
YP_499451.1	345	432	459	PF14698	Q3ASM4_CHLCH_348-437	1	87	88	1.5e-24	83.5	0.98	Chlorobium chlorochromatii CaD3
YP_499452.1	6	391	401	PF00764	HMMer-3	1	386	388	7.1e-168	556.2	0.99	HMMer-3 model
YP_499453.1	58	423	443	PF00342	C7RER6_ANAPD_9-421	3	362	362	3.8e-108	359.3	0.98	Anaerococcus prevotii DSM 20548
YP_499454.1	20	152	191	PF09335	A0A089NAX4_9BACL_25-162	4	133	134	1.3e-18	65.1	0.97	Paenibacillus stellifer
YP_499455.1	21	162	174	PF10502	R7BNE2_9ACTN_32-180	2	145	145	3.2e-30	102.5	0.93	Eggerthella sp. CAG:368
YP_499456.1	1	138	155	PF10502	R7BNE2_9ACTN_32-180	16	144	145	1.6e-39	132.6	0.83	Eggerthella sp. CAG:368
YP_499457.1	12	679	1158	PF04257	A0A0N1L1S6_9PROT_15-826	1	581	583	6.3e-86	287.2	0.82	beta proteobacterium AAP65
YP_499457.1	773	1121	1158	PF12705	I9LAF8_9FIRM_774-1113	2	248	248	1e-47	160.4	0.91	Pelosinus fermentans B4
YP_499458.1	14	450	1217	PF00580	Q49WA6_STAS1_14-458	2	347	348	7.6e-94	312.7	0.86	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292
YP_499458.1	466	870	1217	PF13361	E6M8N3_STALU_465-873	1	345	346	2.8e-91	304.3	0.95	Staphylococcus lugdunensis M23590
YP_499458.1	1041	1214	1217	PF12705	Q1NSN7_9DELT_980-1231	4	169	170	1.5e-31	107.0	0.81	delta proteobacterium MLMS-1
YP_499459.1	95	298	300	PF01557	F2F2Y1_SOLSS_93-300	2	199	200	2.1e-70	234.0	0.98	Solibacillus silvestris StLB046
YP_499460.1	2	114	129	PF07457	HMMer-3	1	108	108	5.2e-36	120.5	0.98	HMMer-3 model
YP_499461.1	2	279	438	PF07992	A6LXK6_CLOB8_3-309	2	284	284	1.1e-55	186.4	0.97	Clostridium beijerinckii NCIMB 8052
YP_499461.1	318	427	438	PF02852	C0XTS6_9CORY_302-424	6	107	109	1.8e-19	67.5	0.93	Corynebacterium lipophiloflavum DSM 44291
YP_499462.1	6	262	274	PF08282	Q2FZT1_STAA8_6-262	1	257	257	3.4e-79	263.5	0.99	Staphylococcus aureus subsp. aureus NCTC 8325
YP_499463.1	1	68	88	PF01883	A0A0F0HYX2_9PSEU_16-85	3	68	68	7.1e-27	90.6	0.97	Saccharothrix sp. ST-888
YP_499464.1	17	353	604	PF01757	Q2FZS9_STAA8_16-353	1	335	335	1e-97	324.9	0.99	Staphylococcus aureus subsp. aureus NCTC 8325
YP_499464.1	449	603	604	PF04311	A0LS23_ACIC1_30-296	8	183	184	4e-13	47.0	0.81	Cucumis sativus
YP_499465.1	17	69	869	PF02861	HMMer-3	1	50	53	6.6e-09	33.2	0.95	HMMer-3 model
YP_499465.1	96	125	869	PF02861	Q49WB4_STAS1_96-126	1	29	31	3.5e-21	72.2	0.98	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292
YP_499465.1	216	338	869	PF00004	A0A075AYT3_9FUNG_79-200	1	120	121	5.5e-55	182.1	0.97	Rozella allomycis CSF55
YP_499465.1	341	503	869	PF17871	H2G1U6_OCESG_342-504	1	162	163	4.1e-56	186.9	0.99	Oceanimonas sp. GK1
YP_499465.1	528	595	869	PF17871	A0A133PZW7_STALU_343-471	70	129	129	9.9e-05	19.9	0.92	Staphylococcus lugdunensis
YP_499465.1	615	764	869	PF07724	K2A9F3_9BACT_1-149	1	145	145	3.9e-64	212.3	0.95	uncultured bacterium (gcode 4)
YP_499465.1	772	852	869	PF10431	HMMer-3	1	81	81	1e-24	83.7	0.98	HMMer-3 model
YP_499466.1	3	62	289	PF00126	HMMer-3	3	59	60	4.5e-12	43.1	0.95	HMMer-3 model
YP_499466.1	87	285	289	PF03466	HMMer-3	5	205	209	5e-23	78.9	0.9	HMMer-3 model
YP_499467.1	2	268	381	PF00682	F7XQ36_METZD_6-264	1	255	256	3.3e-58	194.7	0.93	Methanosalsum zhilinae DSM 4017
YP_499468.1	16	195	213	PF01300	HMMer-3	3	179	179	1.4e-40	136.0	0.96	HMMer-3 model
YP_499469.1	69	366	372	PF05977	C7JH05_ACEP3_23-425	62	370	372	1.2e-20	71.2	0.84	Acetobacter pasteurianus IFO 3283-01
YP_499470.1	31	160	171	PF01161	A6Q845_SULNB_13-148	2	111	112	4e-27	92.1	0.88	Sulfurovum sp. NBC37-1
YP_499472.1	1	56	61	PF11151	E8SEC7_STAPH_1-57	1	55	56	2.1e-20	70.2	0.98	Staphylococcus pseudintermedius HKU10-03
YP_499473.1	2	239	313	PF08392	C4M2E3_ENTHI_103-393	1	249	249	8.3e-67	222.6	0.94	Entamoeba histolytica
YP_499473.1	234	310	313	PF08541	A8LG13_FRASN_262-343	1	77	78	9.7e-27	90.2	0.97	Frankia sp. EAN1pec
YP_499474.1	5	247	414	PF00109	Q2FZR9_STAA8_4-247	2	239	239	1.2e-65	219.4	0.99	Staphylococcus aureus subsp. aureus NCTC 8325
YP_499474.1	255	370	414	PF02801	HMMer-3	1	116	118	6.8e-39	129.9	0.98	HMMer-3 model
YP_499475.1	31	120	123	PF13038	B9DIT4_STACT_33-122	1	90	90	7.4e-44	145.5	0.99	Staphylococcus carnosus subsp. carnosus TM300
YP_499476.1	111	301	308	PF00528	K1YYD2_9BACT_113-333	1	188	188	2e-47	158.9	0.98	uncultured bacterium (gcode 4)
YP_499477.1	50	110	356	PF12911	A0A0K8P5K9_9BURK_2-65	1	60	63	3.3e-21	72.3	0.98	Ideonella sakaiensis
YP_499477.1	173	353	356	PF00528	A0A059W7G7_STRA9_143-327	2	179	179	3.1e-42	141.9	0.98	Streptomyces albulus
YP_499478.1	25	185	360	PF00005	E5Y284_BILWA_28-193	1	166	166	1.3e-47	159.7	0.98	Bilophila wadsworthia 3_1_6
YP_499478.1	236	290	360	PF08352	S0JN15_9ENTE_234-295	1	51	51	1.8e-19	67.1	0.95	Enterococcus durans ATCC 6056
YP_499479.1	41	218	313	PF13304	R6DHR2_9BACE_30-259	1	164	165	5e-48	160.9	0.96	Bacteroides sp. CAG:530
YP_499479.1	233	277	313	PF08352	Q8E246_STRA5_233-287	1	39	45	6.4e-18	61.8	0.94	Streptococcus agalactiae 2603V/R
